title,director
The Godfather,Francis Ford Coppola
Dementia 13,Francis Ford Coppola
You're a Big Boy Now,Francis Ford Coppola
The Rain People,Francis Ford Coppola
The Conversation,Francis Ford Coppola
The Godfather Part II,Francis Ford Coppola
Distant Vision,Francis Ford Coppola
Twixt,Francis Ford Coppola
Tetro,Francis Ford Coppola
The Rainmaker,Francis Ford Coppola
Star Wars: Episode I -  The Phantom Menace,George Lucas
Star Wars: Episode II -  Attack of the Clones,George Lucas
Star Wars: Episode III-  Revenge of the Sith,George Lucas
Star Wars,George Lucas
Return of the Jedi,George Lucas
Catch Me If You Can,Steven Spielberg
Jaws,Steven Spielberg
The Terminal,Steven Spielberg
Jurassic Par,Steven Spielberg
Schindler's List,Steven Spielberg
Saving Private Ryan,Steven Spielberg
Indiana Jones and the Last Crusade,Steven Spielberg
The Shining,Stanley Kubrick
Lolita,Stanley Kubrick
Spartacus,Stanley Kubrick
Eyes Wide Shut,Stanley Kubrick
The Hobbit: The Battle of the Five Armies,Peter Jackson
The Hobbit: The Desolation of Smaug,Peter Jackson
The Hobbit: An Unexpected Journey,Peter Jackson
King Kong,Peter Jackson
The Lord of the Rings: Return of the King,Peter Jackson
The Lord of the Rings: The Two Towers,Peter Jackson
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson
Forrest Gump,Robert Zemeckis
Pinocchio,Robert Zemeckis
Welcom to Marwen,Robert Zemeckis
The Terminator,James Cameron
Bloodline,Terence Young
Contact,Robert Zemeckis
Titanic,James Cameron
Terminator 2:Judgment Day,James Cameron
Dr. No,Terence Young
The Polar Express,Robert Zemeckis
Interstellar,Christopher Nolan
The Dark Knight,Christopher Nolan
Inception,Christopher Nolan
Tenet,Christopher Nolan
Memento,Christopher Nolan
The Dark Knight Rises,Christopher Nolan
Avatar,James Cameron
